id	longitude	latitude	name	name2
438	9.535752409	47.13668308	Liechtenstein	
144	80.7015938	7.611439904	Sri Lanka	
426	28.22901632	-29.57906884	Lesotho	
440	23.89721438	55.32369101	Lithuania	
442	6.072145401	49.76685705	Luxembourg	
428	24.92021182	56.85957105	Latvia	
446	113.5089345	22.22307377	Macao	
663	-63.05995858	18.0888628	Saint Martin (French part)	
504	-8.728072381	29.76657509	Morocco	
492	7.406350308	43.75137688	Monaco	
498	28.46610484	47.18704429	"Moldova, Republic of"	
450	46.74289788	-19.3165794	Madagascar	
462	73.45729707	3.731620799	Maldives	
484	-102.1711382	23.92426574	Mexico	
584	170.3249103	7.014134013	Marshall Islands	
807	21.68068406	41.59533323	"Macedonia, the former Yugoslav Republic of"	
466	-3.590459341	17.31509968	Mali	
470	14.40505031	35.92153039	Malta	
104	96.49484211	21.11295228	Myanmar	
499	19.2387215	42.7878795	Montenegro	
496	103.1240859	46.95619183	Mongolia	
580	145.6193606	15.83101963	Northern Mariana Islands	
508	35.60274736	-17.1955726	Mozambique	
478	-10.36998804	20.22035007	Mauritania	
500	-62.18557312	16.74042856	Montserrat	
480	57.57141291	-20.27789958	Mauritius	
454	34.28246766	-13.20418315	Malawi	
458	109.6996504	3.811071254	Malaysia	
516	17.19523942	-22.06979566	Namibia	
540	165.6805206	-21.30122517	New Caledonia	
562	9.331737605	17.41192249	Niger	
574	167.9495256	-29.05140851	Norfolk Island	
566	8.079703782	9.590985946	Nigeria	
558	-85.03193534	12.84501451	Nicaragua	
570	-169.870437	-19.04883812	Niue	
528	4.982717872	52.22649572	Netherlands	
578	12.74625366	66.36066733	Norway	
524	83.94729746	28.25783188	Nepal	
520	166.9325605	-0.518908664	Nauru	
554	172.9217294	-41.70201502	New Zealand	
512	56.06219228	20.58599834	Oman	
586	69.16843574	29.88398182	Pakistan	
591	-80.11921258	8.52034218	Panama	
612	-128.3166463	-24.36491659	Pitcairn	
604	-74.42081696	-9.107126538	Peru	
608	122.9192975	11.7287693	Philippines	
585	134.4055627	7.286060331	Palau	
598	145.2009441	-6.468765129	Papua New Guinea	
616	19.41976375	52.11190797	Poland	
630	-66.47319176	18.22854805	Puerto Rico	
408	127.1589666	40.14015616	"Korea, Democratic People's Republic of"	North Korea
620	-8.528840055	39.60635769	Portugal	
600	-58.44329192	-23.20883009	Paraguay	
275	35.19516584	31.91505233	"Palestinian Territory, Occupied"	
258	-144.8013048	-14.72748302	French Polynesia	
634	51.18436752	25.30482688	Qatar	
642	24.98301634	45.84859564	Romania	
643	95.78920229	66.03365622	Russian Federation	Russia
646	29.91992295	-1.990245514	Rwanda	
732	-12.27072204	24.21242925	Western Sahara	
682	44.66318669	24.08652602	Saudi Arabia	
729	29.9072653	15.9680845	Sudan	
728	30.25122885	7.308945265	South Sudan	
686	-14.46911643	14.36482296	Senegal	
702	103.8169564	1.359080166	Singapore	
239	-36.48646053	-54.46401273	South Georgia and the South Sandwich Islands	
654	-9.700938378	-12.35476036	"Saint Helena, Ascension and Tristan da Cunha"	
90	159.6200101	-8.92191336	Solomon Islands	
694	-11.79269936	8.562513898	Sierra Leone	
222	-88.87131492	13.73963671	El Salvador	
674	12.45943409	43.94154577	San Marino	
-99	46.25245075	9.735520615		
706	45.6796125	4.739701031	Somalia	
666	-56.3037067	46.91875847	Saint Pierre and Miquelon	
688	20.80640392	44.21141261	Serbia	
678	6.723472931	0.443469901	Sao Tome and Principe	
740	-55.91255551	4.130050193	Suriname	
703	19.46915445	48.71129651	Slovakia	
705	14.80088249	46.11616175	Slovenia	
752	16.26697321	62.38337065	Sweden	
748	31.48164644	-26.55781193	Swaziland	
534	-63.05722666	18.0508855	Sint Maarten (Dutch part)	
690	55.47596181	-4.660069563	Seychelles	
760	38.4877543	35.01898699	Syrian Arab Republic	
796	-71.97340925	21.83120785	Turks and Caicos Islands	
148	18.63506664	15.27540392	Chad	
768	0.964172212	8.520585864	Togo	
764	101.0010117	15.08301565	Thailand	
762	71.02702591	38.53652871	Tajikistan	
795	59.44647682	39.12545194	Turkmenistan	
626	125.8457157	-8.829232633	Timor-Leste	
776	-174.7995735	-20.41565234	Tonga	
780	-61.26613846	10.45671805	Trinidad and Tobago	
788	9.556103124	34.08896893	Tunisia	
792	35.17299528	39.13707049	Turkey	
158	120.95125	23.74960808	"Taiwan, Province of China"	Taiwan
834	34.80206939	-6.268433714	"Tanzania, United Republic of"	Tanzania
800	32.3690393	1.274107208	Uganda	
804	31.46273273	49.02180811	Ukraine	
858	-56.02517296	-32.79129127	Uruguay	
840	-103.6296315	44.74378532	United States	
860	63.30265253	41.77555849	Uzbekistan	
336	12.43423031	41.90207992	Holy See (Vatican City State)	
670	-61.20084086	13.22511032	Saint Vincent and the Grenadines	
862	-66.17064398	7.122336115	"Venezuela, Bolivarian Republic of"	
92	-64.47039729	18.52761182	"Virgin Islands, British"	
850	-64.80280817	17.95554642	"Virgin Islands, U.S."	
704	106.3464598	16.54375353	Viet Nam	Vietnam
548	167.6749982	-16.21671758	Vanuatu	
876	-177.346867	-13.88970517	Wallis and Futuna	
882	-172.1648766	-13.75354222	Samoa	
887	47.56769956	15.91714691	Yemen	
710	25.19375861	-28.97432854	South Africa	
894	27.80872111	-13.45536355	Zambia	
716	29.85085535	-18.99694231	Zimbabwe	
